JCAT,Name,TDate,Program,Category,Result
S00879,[OGO 1],1972 Feb 15,EGO,SCI,S
S00880,Cosmos 45,1964 Sep 18 0802?,Zenit-4,IMG,S
S00882,,1964 Sep 25,CORONA J,IMG,U
S00883,[Saturn 7],1964 Sep 18,Apollo BPS,SS,S
S00884,,1964 Sep 27,AFP-206,IMG,U
S00885,Cosmos 46,1964 Oct  2 1210?,Zenit-2 A,IMG,U
S00889,[Explorer 21],1965 Oct 13,IMP,SCI,U
S00890,,1964 Oct 13,CORONA J,IMG,U
S00891,Cosmos 47,1964 Oct  7 0730,Voskhod,SS,U
S00897,,1964 Oct  8,NNS N,NAV,U
S00899,[Explorer 22],1970 Mar,Explorer BE,SCI,U
S00900,,1964 Oct  6,NRL Cal,CAL,U
S00902,,1964 Oct  6,NRL Cal,CAL,U
S00904,Voskhod,1964 Oct 13 0747,Voskhod,SS,U
S00908,Cosmos 48,1964 Oct 20 0912?,Zenit-2 A,IMG,U
S00911,,1964 Oct 23,CORONA J,IMG,U
S00912,,1964 Oct 27,AFP-206,IMG,U
S00913,Cosmos 49,1964 Nov  3,DS-MG,SCI,U
S00914,,1965 Feb 23,EHH A,SIG,U
S00918,,1964 Oct 27,SRV,RV,F
S00919,Cosmos 50,1964 Nov  5,Zenit-2 A,IMG,F
S00921,,1964 Nov  7,CORONA J,IMG,U
S00922,,1964 Nov  8,SAMOS F-2,SIG,U
S00923,[Mariner III],1964 Nov  6,Mariner,PLAN,U
S00924,[Explorer 23],1966 Jul,Explorer MME,SCI,S
S00930,,1964 Dec  1,CORONA J,IMG,U
S00931,[Explorer 24],1968 Oct 18,Explorer AD,SCI,U
S00932,[Explorer 25],1966 Jul,Injun,SCI,U
S00938,[Mariner IV],1967 Dec 20,Mariner,PLAN,U
S00945,Zond 2,1965 May  5,3MV,PLAN,U
S00946,,1964 Dec  5,AFP-206,IMG,U
S00947,Cosmos 51,1965 Jan  4,DS-MT,AST,U
S00949,,1964 Dec 10,Transtage PL,TECH,U
S00951,[Centaur AC-4],1964 Dec 11,Surveyor Model,TECH,U
S00957,San Marco 1,1965 Sep?,San Marco,SCI,U
S00959,,1965 Jun 30,Transit 5E,AST,U
S00961,,1964 Dec 30,CORONA J,IMG,U
S00963,[Explorer 26],1967 May 21,Explorer EPE,SCI,S
S00964,,1964 Dec 26,QUILL,IMG-R,S
S00965,,,NNS N,NAV,U
S00968,Cosmos 52,1965 Jan 19 0728?,Zenit-2 A,IMG,U
S00972,,1965 Jan 25,CORONA J,IMG,U
