LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
Al Abbas,R-11                ,IQ,1, 13.2 , 0.88 ,     7.8 ,       0 ,      90 ,B
Al Hussein,R-11                ,IQ,1, 12.2 , 0.88 ,     6.3 ,       0 ,      90 ,B
Al Hijara,R-11                ,IQ,1, 11.9 , 0.88 ,     6.3 ,       0 ,      90 ,B
Short Al Hussein,R-11                ,IQ,1, 11.6 , 0.88 ,     6.3 ,       0 ,      90 ,B
Scud,R-11                ,VOTK,1, 11.2 , 0.88 ,     5.5 ,       0 ,      90 ,B
Hwasong 5,R-11                ,KPA,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
Hwasong 6,R-11                ,KPA,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
Hwasong 9,R-11                ,KPA,1, 16.0 , 0.88 ,     5.0 ,       0 ,     255 ,B
Burkan-1H,R-11                ,ANSAL,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
Burkan-2H,R-11                ,ANSAL,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
Burkan-3,R-11                ,ANSAL,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
Zulfiqar,R-11                ,ANSAL,1, 10.0 , 0.88 ,     5.0 ,       0 ,      90 ,B
R-11,R-11                ,OKB1/MAK,1,  7.4 , 0.88 ,     4.6 ,       0 ,      80 ,B
R-11M,R-11                ,OKB1,1,  7.4 , 0.88 ,     4.6 ,       0 ,      80 ,B
R-11FM,R-11                ,OKB1,1,  8.4 , 0.88 ,     4.6 ,       0 ,      93 ,B
R-11A,R-11                ,OKB1,1, 10.2 , 0.88 ,     4.6 ,       0 ,      80 ,B
R-11A-MV,R-11                ,OKB1,1, 10.0 , 0.88 ,     5.0 ,       0 ,      80 ,B
Wasserfall,Hermes              ,WEHR,1,  7.8 , 0.88 ,     3.5 ,       0 ,      80 ,A
CHGB Booster,CHGB,USN/LM,2, 10.2 , 0.88 ,     7.4 ,       0 ,,M
Hermes A-1,Hermes              ,GEMTS,1,  7.8 , 0.86 ,     3.0 ,       0 ,      71 ,A
Viking,Viking              ,NRL,1, 14.9 , 0.81 ,     4.5 ,       0 ,      93 ,R
Topaze VE111,Agate               ,SEREB,1,  7.1 , 0.80 ,     2.8 ,       0 ,     120 ,V
